ChatGPT;Claude;Copilot;DeepSeek;Disciplina;Gemini;NotebookLM;Perplexity
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco pero no lo he usado";"Lo conozco pero no lo he usado";Otras;"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco pero no lo he usado";"No lo conozco"
"Lo conozco pero no lo he usado";"No lo conozco";"Lo uso en el conexto universitario";"Lo conozco pero no lo he usado";Otras;"No lo conozco";"No lo conozco";"No lo conozco"
"Lo uso para otras tareas";"Lo conozco pero no lo he usado";"Lo conozco pero no lo he usado";"Lo conozco pero no lo he usado";Otras;"Lo conozco pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco pero no lo he usado";"Lo conozco pero no lo he usado";"Lo uso en el conexto universitario";TIC;"Lo uso para otras tareas";"No lo conozco";"Lo conozco pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco pero no lo he usado";"Lo uso para otras tareas";"Lo uso en el conexto universitario";TIC;"Lo conozco pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso para otras tareas";;"Lo uso para otras tareas";;TIC;;;
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco pero no lo he usado";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco pero no lo he usado";TIC;"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco pero no lo he usado"
"Lo uso para otras tareas";"No lo conozco";"Lo uso para otras tareas";"Lo uso para otras tareas";TIC;"Lo uso para otras tareas";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco pero no lo he usado";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco pero no lo he usado";TIC;"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso en el conexto universitario";"Lo uso en el conexto universitario"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";Otras;"Lo conozco pero no lo he usado";"No lo conozco";"Lo conozco pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"No lo conozco";"No lo conozco";Otras;"Lo conozco pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso para otras tareas";"Lo conozco pero no lo he usado";"Lo uso para otras tareas";"Lo conozco pero no lo he usado";Otras;"Lo conozco pero no lo he usado";"No lo conozco";"Lo conozco pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";;;;Otras;"Lo uso en el conexto universitario";"Lo uso tanto en el conexto universitario como para otras tareas";
"Lo uso para otras tareas";"No lo conozco";"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";Otras;"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso en el conexto universitario";"Lo uso en el conexto universitario"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco pero no lo he usado";"No lo conozco";Otras;"Lo conozco pero no lo he usado";"Lo conozco pero no lo he usado";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco pero no lo he usado";"Lo uso para otras tareas";"Lo conozco pero no lo he usado";Otras;"Lo uso para otras tareas";"No lo conozco";"Lo uso tanto en el conexto universitario como para otras tareas"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco pero no lo he usado";"Lo conozco pero no lo he usado";TIC;"Lo uso para otras tareas";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";;"Lo uso tanto en el conexto universitario como para otras tareas";;Otras;;;
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso en el conexto universitario";"Lo conozco pero no lo he usado";TIC;"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso en el conexto universitario";"Lo uso en el conexto universitario";"Lo uso en el conexto universitario";Otras;"Lo conozco pero no lo he usado";"Lo conozco pero no lo he usado";"Lo uso en el conexto universitario"
"Lo conozco pero no lo he usado";"Lo conozco pero no lo he usado";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco pero no lo he usado";TIC;"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco pero no lo he usado"
"Lo conozco pero no lo he usado";"No lo conozco";"No lo conozco";"Lo conozco pero no lo he usado";Otras;"Lo conozco pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso para otras tareas";"No lo conozco";Otras;"No lo conozco";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso tanto en el conexto universitario como para otras tareas";;TIC;"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso tanto en el conexto universitario como para otras tareas";
"Lo uso tanto en el conexto universitario como para otras tareas";;;;Otras;;"Lo uso tanto en el conexto universitario como para otras tareas";
"Lo uso tanto en el conexto universitario como para otras tareas";;;;Otras;;;
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso en el conexto universitario";;TIC;"Lo conozco pero no lo he usado";"No lo conozco";
"Lo uso para otras tareas";"No lo conozco";"Lo uso en el conexto universitario";;TIC;"Lo conozco pero no lo he usado";"No lo conozco";
"Lo uso para otras tareas";"Lo conozco pero no lo he usado";"Lo conozco pero no lo he usado";;TIC;"Lo conozco pero no lo he usado";"Lo conozco pero no lo he usado";
"Lo uso en el conexto universitario";"No lo conozco";"Lo uso en el conexto universitario";;Otras;"Lo conozco pero no lo he usado";"Lo conozco pero no lo he usado";
"Lo conozco pero no lo he usado";"No lo conozco";"Lo conozco pero no lo he usado";;Otras;"No lo conozco";"No lo conozco";
