ChatGPT;Claude;Copilot;DeepSeek;Disciplina;Gemini;NotebookLM;Perplexity
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo uso en el contexto universitario";"Lo uso en el contexto universitario";IT;"Lo uso en el contexto universitario";"No lo conozco";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";Others;"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"No lo conozco"
"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";IT;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso en el contexto universitario";"Lo conozco, pero no lo he usado";IT;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso en el contexto universitario";"Lo uso para otras tareas";"Lo uso tanto en el conexto universitario como para otras tareas";Others;"Lo uso para otras tareas";"Lo uso en el contexto universitario";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso en el contexto universitario";"Lo uso en el contexto universitario";IT;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso en el contexto universitario";IT;"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso tanto en el conexto universitario como para otras tareas"
"Lo uso tanto en el conexto universitario como para otras tareas";;"Lo uso en el contexto universitario";"Lo uso en el contexto universitario";Others;"Lo uso en el contexto universitario";;
"Lo uso en el contexto universitario";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";IT;"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo uso para otras tareas";Others;"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso en el contexto universitario";"Lo uso en el contexto universitario";IT;"Lo conozco, pero no lo he usado";;"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo uso en el contexto universitario";IT;"Lo uso en el contexto universitario";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo uso en el contexto universitario";Others;"Lo uso en el contexto universitario";"No lo conozco";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso en el contexto universitario";"Lo conozco, pero no lo he usado";IT;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso en el contexto universitario";"Lo conozco, pero no lo he usado";IT;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso en el contexto universitario";IT;"Lo uso en el contexto universitario";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";IT;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo uso en el contexto universitario";"Lo uso en el contexto universitario";IT;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";Others;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";;"Lo uso en el contexto universitario";"Lo conozco, pero no lo he usado";IT;"Lo conozco, pero no lo he usado";;
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo uso en el contexto universitario";"Lo conozco, pero no lo he usado";Others;"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo uso en el contexto universitario";IT;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo uso tanto en el conexto universitario como para otras tareas";IT;"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";IT;"Lo uso para otras tareas";"Lo uso en el contexto universitario";"Lo uso en el contexto universitario"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";IT;"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo uso tanto en el conexto universitario como para otras tareas"
"Lo uso en el contexto universitario";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";IT;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso tanto en el conexto universitario como para otras tareas";IT;"Lo conozco, pero no lo he usado";"No lo conozco";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";IT;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";IT;"Lo conozco, pero no lo he usado";"No lo conozco";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo uso en el contexto universitario";IT;"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";;Others;"Lo uso para otras tareas";;"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo uso para otras tareas";"Lo uso para otras tareas";IT;"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo uso en el contexto universitario";"Lo uso para otras tareas";Others;"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo uso para otras tareas"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";IT;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";IT;"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"No lo conozco";Language-related;"Lo conozco, pero no lo he usado";"No lo conozco";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"No lo conozco";"No lo conozco";Language-related;"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo uso para otras tareas";IT;"Lo uso para otras tareas";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";IT;"Lo conozco, pero no lo he usado";"No lo conozco";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo uso tanto en el conexto universitario como para otras tareas";IT;"Lo uso para otras tareas";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo uso tanto en el conexto universitario como para otras tareas";IT;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso en el contexto universitario";"No lo conozco";Language-related;"Lo uso en el contexto universitario";"No lo conozco";"Lo uso en el contexto universitario"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo uso en el contexto universitario";"Lo uso tanto en el conexto universitario como para otras tareas";IT;"Lo uso en el contexto universitario";"No lo conozco";"Lo uso en el contexto universitario"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso en el contexto universitario";"Lo uso tanto en el conexto universitario como para otras tareas";IT;"Lo uso para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";IT;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso para otras tareas";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";Others;"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo uso en el contexto universitario"
"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";Others;"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";Others;"Lo conozco, pero no lo he usado";"Lo uso en el contexto universitario";"Lo conozco, pero no lo he usado"
"Lo uso en el contexto universitario";"No lo conozco";"Lo uso en el contexto universitario";"Lo conozco, pero no lo he usado";Language-related;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso tanto en el conexto universitario como para otras tareas";IT;"Lo uso para otras tareas";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso en el contexto universitario"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"No lo conozco";"No lo conozco";Others;"Lo uso para otras tareas";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo uso para otras tareas";"Lo uso para otras tareas";IT;"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado"
"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco";"No lo conozco";Others;"No lo conozco";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso en el contexto universitario";"Lo conozco, pero no lo he usado";Others;"Lo uso para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";Others;"Lo conozco, pero no lo he usado";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso tanto en el conexto universitario como para otras tareas"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo uso tanto en el conexto universitario como para otras tareas";IT;"Lo uso para otras tareas";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";Others;"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";Others;"Lo uso en el contexto universitario";"Lo uso en el contexto universitario";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso en el contexto universitario";"Lo uso tanto en el conexto universitario como para otras tareas";IT;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso para otras tareas";Others;"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"No lo conozco";Others;"Lo conozco, pero no lo he usado";"Lo uso en el contexto universitario";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo uso en el contexto universitario";"No lo conozco";Language-related;"Lo uso para otras tareas";"No lo conozco";"Lo uso en el contexto universitario"
"Lo uso en el contexto universitario";"No lo conozco";"Lo uso para otras tareas";"No lo conozco";Others;"Lo uso en el contexto universitario";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"No lo conozco";"No lo conozco";Others;"No lo conozco";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"No lo conozco";"No lo conozco";Others;"No lo conozco";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso para otras tareas";"Lo uso para otras tareas";"Lo uso para otras tareas";IT;"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso tanto en el conexto universitario como para otras tareas"
"Lo uso tanto en el conexto universitario como para otras tareas";;"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";Others;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"No lo conozco";"Lo conozco, pero no lo he usado";Language-related;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo conozco, pero no lo he usado";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";Others;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso para otras tareas";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";Others;"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo uso en el contexto universitario";"Lo conozco, pero no lo he usado";Others;"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso para otras tareas";"Lo conozco, pero no lo he usado";Others;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso en el contexto universitario";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";Language-related;"Lo uso en el contexto universitario";"No lo conozco";"Lo conozco, pero no lo he usado"
"Lo uso en el contexto universitario";"No lo conozco";"No lo conozco";"Lo conozco, pero no lo he usado";Others;"No lo conozco";"Lo uso en el contexto universitario";"No lo conozco"
"Lo uso en el contexto universitario";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";IT;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso para otras tareas";"No lo conozco";Others;"Lo conozco, pero no lo he usado";"Lo uso en el contexto universitario";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso en el contexto universitario";"Lo uso tanto en el conexto universitario como para otras tareas";IT;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso para otras tareas";"No lo conozco";IT;"Lo uso para otras tareas";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";IT;"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso en el contexto universitario";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";Others;"No lo conozco";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"No lo conozco";IT;"Lo uso para otras tareas";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";Others;"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";
"Lo uso en el contexto universitario";"Lo uso en el contexto universitario";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";Language-related;"Lo uso en el contexto universitario";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"No lo conozco";Others;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso para otras tareas";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";;Language-related;"Lo uso para otras tareas";;"Lo conozco, pero no lo he usado"
"Lo uso en el contexto universitario";"Lo uso en el contexto universitario";;;Language-related;"Lo uso en el contexto universitario";;"Lo uso en el contexto universitario"
"Lo uso tanto en el conexto universitario como para otras tareas";;;;Others;;;
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";Others;"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo uso en el contexto universitario";"Lo uso tanto en el conexto universitario como para otras tareas";IT;"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"No lo conozco"
"Lo uso en el contexto universitario";"No lo conozco";"No lo conozco";"No lo conozco";Others;"No lo conozco";"Lo uso en el contexto universitario";"No lo conozco"
"Lo conozco, pero no lo he usado";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";Others;"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo uso en el contexto universitario";Others;"Lo uso en el contexto universitario";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso para otras tareas";;;Others;;"Lo uso para otras tareas";"Lo uso para otras tareas"
"Lo uso en el contexto universitario";"No lo conozco";"No lo conozco";"No lo conozco";Others;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso para otras tareas";"No lo conozco";"Lo uso para otras tareas";"Lo uso para otras tareas";Others;"Lo uso para otras tareas";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"No lo conozco";"Lo uso en el contexto universitario";IT;"Lo uso para otras tareas";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";;"Lo uso en el contexto universitario";;IT;;"Lo uso en el contexto universitario";"Lo uso en el contexto universitario"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";Others;"Lo uso para otras tareas";"Lo uso en el contexto universitario";"Lo uso en el contexto universitario"
"Lo uso en el contexto universitario";"No lo conozco";"No lo conozco";"No lo conozco";Language-related;"No lo conozco";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"No lo conozco";"No lo conozco";Language-related;"No lo conozco";"No lo conozco";"No lo conozco"
"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco";"No lo conozco";Language-related;"No lo conozco";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"No lo conozco";Language-related;"Lo conozco, pero no lo he usado";"No lo conozco";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";Language-related;"Lo uso para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"No lo conozco";Language-related;"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"No lo conozco"
"Lo uso para otras tareas";"No lo conozco";"No lo conozco";"Lo uso tanto en el conexto universitario como para otras tareas";Language-related;"No lo conozco";"No lo conozco";"Lo conozco, pero no lo he usado"
"Lo uso para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"No lo conozco";Language-related;"No lo conozco";"No lo conozco";"No lo conozco"
"Lo uso en el contexto universitario";"No lo conozco";"No lo conozco";"No lo conozco";Language-related;"No lo conozco";"No lo conozco";"Lo uso en el contexto universitario"
"Lo uso en el contexto universitario";"No lo conozco";"No lo conozco";"No lo conozco";Language-related;"Lo conozco, pero no lo he usado";"No lo conozco";"Lo uso en el contexto universitario"
"Lo uso para otras tareas";"No lo conozco";"No lo conozco";"No lo conozco";Language-related;"No lo conozco";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"No lo conozco";"No lo conozco";Language-related;"No lo conozco";"No lo conozco";"No lo conozco"
"Lo uso en el contexto universitario";"No lo conozco";"No lo conozco";"No lo conozco";Language-related;"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado"
"Lo uso para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";Language-related;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";Language-related;"Lo conozco, pero no lo he usado";"No lo conozco";"Lo conozco, pero no lo he usado"
"Lo uso en el contexto universitario";"No lo conozco";"No lo conozco";"No lo conozco";Language-related;"Lo conozco, pero no lo he usado";"No lo conozco";"Lo conozco, pero no lo he usado"
"Lo uso para otras tareas";"No lo conozco";"Lo uso para otras tareas";"No lo conozco";Language-related;"No lo conozco";"No lo conozco";"Lo conozco, pero no lo he usado"
"Lo uso en el contexto universitario";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";Language-related;"Lo uso para otras tareas";"No lo conozco";
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"No lo conozco";"Lo conozco, pero no lo he usado";Language-related;"No lo conozco";"No lo conozco";"No lo conozco"
"Lo uso en el contexto universitario";"No lo conozco";"No lo conozco";"No lo conozco";Language-related;"No lo conozco";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";;;"Lo uso en el contexto universitario";Language-related;;;
