ChatGPT;Claude;Copilot;DeepSeek;Disciplina;Gemini;NotebookLM;Perplexity
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";Otro;"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"No lo conozco"
"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";TIC;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso en el contexto universitario";"Lo conozco, pero no lo he usado";TIC;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso en el contexto universitario";"Lo uso para otras tareas";"Lo uso tanto en el conexto universitario como para otras tareas";Otro;"Lo uso para otras tareas";"Lo uso en el contexto universitario";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso en el contexto universitario";"Lo uso en el contexto universitario";TIC;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso en el contexto universitario";TIC;"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso tanto en el conexto universitario como para otras tareas"
"Lo uso tanto en el conexto universitario como para otras tareas";;"Lo uso en el contexto universitario";"Lo uso en el contexto universitario";Otro;"Lo uso en el contexto universitario";;
"Lo uso en el contexto universitario";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";TIC;"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo uso para otras tareas";Otro;"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso en el contexto universitario";"Lo uso en el contexto universitario";TIC;"Lo conozco, pero no lo he usado";;"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo uso en el contexto universitario";TIC;"Lo uso en el contexto universitario";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo uso en el contexto universitario";Otro;"Lo uso en el contexto universitario";"No lo conozco";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso en el contexto universitario";"Lo conozco, pero no lo he usado";TIC;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso en el contexto universitario";"Lo conozco, pero no lo he usado";TIC;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso en el contexto universitario";TIC;"Lo uso en el contexto universitario";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";TIC;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo uso en el contexto universitario";"Lo uso en el contexto universitario";TIC;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";Otro;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";;"Lo uso en el contexto universitario";"Lo conozco, pero no lo he usado";TIC;"Lo conozco, pero no lo he usado";;
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo uso en el contexto universitario";"Lo conozco, pero no lo he usado";Otro;"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo uso en el contexto universitario";TIC;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo uso tanto en el conexto universitario como para otras tareas";TIC;"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";TIC;"Lo uso para otras tareas";"Lo uso en el contexto universitario";"Lo uso en el contexto universitario"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";TIC;"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo uso tanto en el conexto universitario como para otras tareas"
"Lo uso en el contexto universitario";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";TIC;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso tanto en el conexto universitario como para otras tareas";TIC;"Lo conozco, pero no lo he usado";"No lo conozco";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";TIC;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";TIC;"Lo conozco, pero no lo he usado";"No lo conozco";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo uso en el contexto universitario";TIC;"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";;Otro;"Lo uso para otras tareas";;"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo uso para otras tareas";"Lo uso para otras tareas";TIC;"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo uso en el contexto universitario";"Lo uso para otras tareas";Otro;"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo uso para otras tareas"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";TIC;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";TIC;"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"No lo conozco";Lengua;"Lo conozco, pero no lo he usado";"No lo conozco";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"No lo conozco";"No lo conozco";Lengua;"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo uso para otras tareas";TIC;"Lo uso para otras tareas";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";TIC;"Lo conozco, pero no lo he usado";"No lo conozco";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo uso tanto en el conexto universitario como para otras tareas";TIC;"Lo uso para otras tareas";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo uso tanto en el conexto universitario como para otras tareas";TIC;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso en el contexto universitario";"No lo conozco";Lengua;"Lo uso en el contexto universitario";"No lo conozco";"Lo uso en el contexto universitario"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo uso en el contexto universitario";"Lo uso tanto en el conexto universitario como para otras tareas";TIC;"Lo uso en el contexto universitario";"No lo conozco";"Lo uso en el contexto universitario"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso en el contexto universitario";"Lo uso tanto en el conexto universitario como para otras tareas";TIC;"Lo uso para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";TIC;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso para otras tareas";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";Otro;"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo uso en el contexto universitario"
"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";Otro;"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";Otro;"Lo conozco, pero no lo he usado";"Lo uso en el contexto universitario";"Lo conozco, pero no lo he usado"
"Lo uso en el contexto universitario";"No lo conozco";"Lo uso en el contexto universitario";"Lo conozco, pero no lo he usado";Lengua;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso tanto en el conexto universitario como para otras tareas";TIC;"Lo uso para otras tareas";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso en el contexto universitario"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"No lo conozco";"No lo conozco";Otro;"Lo uso para otras tareas";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo uso para otras tareas";"Lo uso para otras tareas";TIC;"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado"
"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco";"No lo conozco";Otro;"No lo conozco";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso en el contexto universitario";"Lo conozco, pero no lo he usado";Otro;"Lo uso para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";Otro;"Lo conozco, pero no lo he usado";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso tanto en el conexto universitario como para otras tareas"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo uso tanto en el conexto universitario como para otras tareas";TIC;"Lo uso para otras tareas";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";Otro;"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";Otro;"Lo uso en el contexto universitario";"Lo uso en el contexto universitario";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso en el contexto universitario";"Lo uso tanto en el conexto universitario como para otras tareas";TIC;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso para otras tareas";Otro;"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"No lo conozco";Otro;"Lo conozco, pero no lo he usado";"Lo uso en el contexto universitario";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo uso en el contexto universitario";"No lo conozco";Lengua;"Lo uso para otras tareas";"No lo conozco";"Lo uso en el contexto universitario"
"Lo uso en el contexto universitario";"No lo conozco";"Lo uso para otras tareas";"No lo conozco";Otro;"Lo uso en el contexto universitario";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"No lo conozco";"No lo conozco";Otro;"No lo conozco";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"No lo conozco";"No lo conozco";Otro;"No lo conozco";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso para otras tareas";"Lo uso para otras tareas";"Lo uso para otras tareas";TIC;"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso tanto en el conexto universitario como para otras tareas"
"Lo uso tanto en el conexto universitario como para otras tareas";;"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";Otro;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"No lo conozco";"Lo conozco, pero no lo he usado";Lengua;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo conozco, pero no lo he usado";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";Otro;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso para otras tareas";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";Otro;"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo uso en el contexto universitario";"Lo conozco, pero no lo he usado";Otro;"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso para otras tareas";"Lo conozco, pero no lo he usado";Otro;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso en el contexto universitario";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";Lengua;"Lo uso en el contexto universitario";"No lo conozco";"Lo conozco, pero no lo he usado"
"Lo uso en el contexto universitario";"No lo conozco";"No lo conozco";"Lo conozco, pero no lo he usado";Otro;"No lo conozco";"Lo uso en el contexto universitario";"No lo conozco"
"Lo uso en el contexto universitario";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";TIC;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso para otras tareas";"No lo conozco";Otro;"Lo conozco, pero no lo he usado";"Lo uso en el contexto universitario";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso en el contexto universitario";"Lo uso tanto en el conexto universitario como para otras tareas";TIC;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso para otras tareas";"No lo conozco";TIC;"Lo uso para otras tareas";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";TIC;"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso en el contexto universitario";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";Otro;"No lo conozco";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"No lo conozco";TIC;"Lo uso para otras tareas";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";Otro;"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";
"Lo uso en el contexto universitario";"Lo uso en el contexto universitario";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";Lengua;"Lo uso en el contexto universitario";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"No lo conozco";Otro;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso para otras tareas";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";;Lengua;"Lo uso para otras tareas";;"Lo conozco, pero no lo he usado"
"Lo uso en el contexto universitario";"Lo uso en el contexto universitario";;;Lengua;"Lo uso en el contexto universitario";;"Lo uso en el contexto universitario"
"Lo uso tanto en el conexto universitario como para otras tareas";;;;Otro;;;
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";Otro;"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo uso en el contexto universitario";"Lo uso tanto en el conexto universitario como para otras tareas";TIC;"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"No lo conozco"
"Lo uso en el contexto universitario";"No lo conozco";"No lo conozco";"No lo conozco";Otro;"No lo conozco";"Lo uso en el contexto universitario";"No lo conozco"
"Lo conozco, pero no lo he usado";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";Otro;"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo uso en el contexto universitario";Otro;"Lo uso en el contexto universitario";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo uso para otras tareas";;;Otro;;"Lo uso para otras tareas";"Lo uso para otras tareas"
"Lo uso en el contexto universitario";"No lo conozco";"No lo conozco";"No lo conozco";Otro;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso para otras tareas";"No lo conozco";"Lo uso para otras tareas";"Lo uso para otras tareas";Otro;"Lo uso para otras tareas";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"No lo conozco";"Lo uso en el contexto universitario";TIC;"Lo uso para otras tareas";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";;"Lo uso en el contexto universitario";;TIC;;"Lo uso en el contexto universitario";"Lo uso en el contexto universitario"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";Otro;"Lo uso para otras tareas";"Lo uso en el contexto universitario";"Lo uso en el contexto universitario"
"Lo uso en el contexto universitario";"No lo conozco";"No lo conozco";"No lo conozco";Lengua;"No lo conozco";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"No lo conozco";"No lo conozco";Lengua;"No lo conozco";"No lo conozco";"No lo conozco"
"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco";"No lo conozco";Lengua;"No lo conozco";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";"No lo conozco";Lengua;"Lo conozco, pero no lo he usado";"No lo conozco";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo uso tanto en el conexto universitario como para otras tareas";"Lo conozco, pero no lo he usado";Lengua;"Lo uso para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"No lo conozco";Lengua;"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"No lo conozco"
"Lo uso para otras tareas";"No lo conozco";"No lo conozco";"Lo uso tanto en el conexto universitario como para otras tareas";Lengua;"No lo conozco";"No lo conozco";"Lo conozco, pero no lo he usado"
"Lo uso para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"No lo conozco";Lengua;"No lo conozco";"No lo conozco";"No lo conozco"
"Lo uso en el contexto universitario";"No lo conozco";"No lo conozco";"No lo conozco";Lengua;"No lo conozco";"No lo conozco";"Lo uso en el contexto universitario"
"Lo uso en el contexto universitario";"No lo conozco";"No lo conozco";"No lo conozco";Lengua;"Lo conozco, pero no lo he usado";"No lo conozco";"Lo uso en el contexto universitario"
"Lo uso para otras tareas";"No lo conozco";"No lo conozco";"No lo conozco";Lengua;"No lo conozco";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"No lo conozco";"No lo conozco";Lengua;"No lo conozco";"No lo conozco";"No lo conozco"
"Lo uso en el contexto universitario";"No lo conozco";"No lo conozco";"No lo conozco";Lengua;"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado"
"Lo uso para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";Lengua;"Lo conozco, pero no lo he usado";"No lo conozco";"No lo conozco"
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";Lengua;"Lo conozco, pero no lo he usado";"No lo conozco";"Lo conozco, pero no lo he usado"
"Lo uso en el contexto universitario";"No lo conozco";"No lo conozco";"No lo conozco";Lengua;"Lo conozco, pero no lo he usado";"No lo conozco";"Lo conozco, pero no lo he usado"
"Lo uso para otras tareas";"No lo conozco";"Lo uso para otras tareas";"No lo conozco";Lengua;"No lo conozco";"No lo conozco";"Lo conozco, pero no lo he usado"
"Lo uso en el contexto universitario";"No lo conozco";"Lo conozco, pero no lo he usado";"Lo conozco, pero no lo he usado";Lengua;"Lo uso para otras tareas";"No lo conozco";
"Lo uso tanto en el conexto universitario como para otras tareas";"No lo conozco";"No lo conozco";"Lo conozco, pero no lo he usado";Lengua;"No lo conozco";"No lo conozco";"No lo conozco"
"Lo uso en el contexto universitario";"No lo conozco";"No lo conozco";"No lo conozco";Lengua;"No lo conozco";"No lo conozco";"No lo conozco"
